,Data,location,Total de Mortes,Novas Mortes no Dia
12826,17/03/2020,Brazil,1.0,1.0
12827,18/03/2020,Brazil,3.0,2.0
12828,19/03/2020,Brazil,6.0,3.0
12829,20/03/2020,Brazil,11.0,5.0
12830,21/03/2020,Brazil,15.0,4.0
12831,22/03/2020,Brazil,25.0,10.0
12832,23/03/2020,Brazil,34.0,9.0
12833,24/03/2020,Brazil,46.0,12.0
12834,25/03/2020,Brazil,59.0,13.0
12835,26/03/2020,Brazil,77.0,18.0
12836,27/03/2020,Brazil,92.0,15.0
12837,28/03/2020,Brazil,111.0,19.0
12838,29/03/2020,Brazil,136.0,25.0
12839,30/03/2020,Brazil,159.0,23.0
12840,31/03/2020,Brazil,201.0,42.0
12841,01/04/2020,Brazil,240.0,39.0
12842,02/04/2020,Brazil,324.0,84.0
12843,03/04/2020,Brazil,359.0,35.0
12844,04/04/2020,Brazil,445.0,86.0
12845,05/04/2020,Brazil,486.0,41.0
12846,06/04/2020,Brazil,564.0,78.0
12847,07/04/2020,Brazil,686.0,122.0
12848,08/04/2020,Brazil,819.0,133.0
12849,09/04/2020,Brazil,950.0,131.0
12850,10/04/2020,Brazil,1057.0,107.0
12851,11/04/2020,Brazil,1124.0,67.0
12852,12/04/2020,Brazil,1223.0,99.0
12853,13/04/2020,Brazil,1328.0,105.0
12854,14/04/2020,Brazil,1532.0,204.0
12855,15/04/2020,Brazil,1736.0,204.0
12856,16/04/2020,Brazil,1924.0,188.0
12857,17/04/2020,Brazil,2141.0,217.0
12858,18/04/2020,Brazil,2354.0,213.0
12859,19/04/2020,Brazil,2462.0,108.0
12860,20/04/2020,Brazil,2587.0,125.0
12861,21/04/2020,Brazil,2741.0,154.0
12862,22/04/2020,Brazil,2906.0,165.0
12863,23/04/2020,Brazil,3331.0,425.0
12864,24/04/2020,Brazil,3704.0,373.0
12865,25/04/2020,Brazil,4057.0,353.0
12866,26/04/2020,Brazil,4286.0,229.0
12867,27/04/2020,Brazil,4603.0,317.0
12868,28/04/2020,Brazil,5083.0,480.0
12869,29/04/2020,Brazil,5513.0,430.0
12870,30/04/2020,Brazil,6006.0,493.0
12871,01/05/2020,Brazil,6412.0,406.0
12872,02/05/2020,Brazil,6761.0,349.0
12873,03/05/2020,Brazil,7051.0,290.0
12874,04/05/2020,Brazil,7367.0,316.0
12875,05/05/2020,Brazil,7938.0,571.0
12876,06/05/2020,Brazil,8588.0,650.0
12877,07/05/2020,Brazil,9190.0,602.0
12878,08/05/2020,Brazil,10017.0,827.0
12879,09/05/2020,Brazil,10656.0,639.0
12880,10/05/2020,Brazil,11123.0,467.0
12881,11/05/2020,Brazil,11653.0,530.0
12882,12/05/2020,Brazil,12461.0,808.0
12883,13/05/2020,Brazil,13240.0,779.0
12884,14/05/2020,Brazil,13999.0,759.0
12885,15/05/2020,Brazil,14962.0,963.0
12886,16/05/2020,Brazil,15662.0,700.0
12887,17/05/2020,Brazil,16118.0,456.0
12888,18/05/2020,Brazil,16853.0,735.0
12889,19/05/2020,Brazil,17983.0,1130.0
12890,20/05/2020,Brazil,18859.0,876.0
12891,21/05/2020,Brazil,20047.0,1188.0
12892,22/05/2020,Brazil,21048.0,1001.0
12893,23/05/2020,Brazil,22013.0,965.0
12894,24/05/2020,Brazil,22666.0,653.0
12895,25/05/2020,Brazil,23473.0,807.0
12896,26/05/2020,Brazil,24512.0,1039.0
12897,27/05/2020,Brazil,25598.0,1086.0
12898,28/05/2020,Brazil,26754.0,1156.0
12899,29/05/2020,Brazil,27878.0,1124.0
12900,30/05/2020,Brazil,28834.0,956.0
12901,31/05/2020,Brazil,29314.0,480.0
12902,01/06/2020,Brazil,29937.0,623.0
12903,02/06/2020,Brazil,31199.0,1262.0
12904,03/06/2020,Brazil,32548.0,1349.0
12905,04/06/2020,Brazil,34021.0,1473.0
12906,05/06/2020,Brazil,35026.0,1005.0
12907,06/06/2020,Brazil,35930.0,904.0
12908,07/06/2020,Brazil,36455.0,525.0
12909,08/06/2020,Brazil,37134.0,679.0
12910,09/06/2020,Brazil,38406.0,1272.0
12911,10/06/2020,Brazil,39680.0,1274.0
12912,11/06/2020,Brazil,40919.0,1239.0
12913,12/06/2020,Brazil,41828.0,909.0
12914,13/06/2020,Brazil,42720.0,892.0
12915,14/06/2020,Brazil,43332.0,612.0
12916,15/06/2020,Brazil,43959.0,627.0
12917,16/06/2020,Brazil,45241.0,1282.0
12918,17/06/2020,Brazil,46510.0,1269.0
12919,18/06/2020,Brazil,47748.0,1238.0
12920,19/06/2020,Brazil,48954.0,1206.0
12921,20/06/2020,Brazil,49976.0,1022.0
12922,21/06/2020,Brazil,50591.0,615.0
12923,22/06/2020,Brazil,51271.0,680.0
12924,23/06/2020,Brazil,52645.0,1374.0
12925,24/06/2020,Brazil,53830.0,1185.0
12926,25/06/2020,Brazil,54971.0,1141.0
12927,26/06/2020,Brazil,55961.0,990.0
12928,27/06/2020,Brazil,57070.0,1109.0
12929,28/06/2020,Brazil,57622.0,552.0
12930,29/06/2020,Brazil,58314.0,692.0
12931,30/06/2020,Brazil,59594.0,1280.0
12932,01/07/2020,Brazil,60632.0,1038.0
12933,02/07/2020,Brazil,61884.0,1252.0
12934,03/07/2020,Brazil,63174.0,1290.0
