,Data,location,Total de Mortes,Novas Mortes no Dia,Variacao Anual do Total de Mortes,Variacao Anual de Novas Mortes no Dia
0,17/03/2020,Brazil,1.0,1.0,-,-
1,18/03/2020,Brazil,3.0,2.0,-,-
2,19/03/2020,Brazil,6.0,3.0,-,-
3,20/03/2020,Brazil,11.0,5.0,-,-
4,21/03/2020,Brazil,15.0,4.0,-,-
5,22/03/2020,Brazil,25.0,10.0,-,-
6,23/03/2020,Brazil,34.0,9.0,-,-
7,24/03/2020,Brazil,46.0,12.0,-,-
8,25/03/2020,Brazil,59.0,13.0,-,-
9,26/03/2020,Brazil,77.0,18.0,-,-
10,27/03/2020,Brazil,92.0,15.0,-,-
11,28/03/2020,Brazil,111.0,19.0,-,-
12,29/03/2020,Brazil,136.0,25.0,-,-
13,30/03/2020,Brazil,159.0,23.0,-,-
14,31/03/2020,Brazil,201.0,42.0,-,-
15,01/04/2020,Brazil,240.0,39.0,-,-
16,02/04/2020,Brazil,324.0,84.0,-,-
17,03/04/2020,Brazil,359.0,35.0,-,-
18,04/04/2020,Brazil,445.0,86.0,-,-
19,05/04/2020,Brazil,486.0,41.0,-,-
20,06/04/2020,Brazil,564.0,78.0,-,-
21,07/04/2020,Brazil,686.0,122.0,-,-
22,08/04/2020,Brazil,819.0,133.0,-,-
23,09/04/2020,Brazil,950.0,131.0,-,-
24,10/04/2020,Brazil,1057.0,107.0,-,-
25,11/04/2020,Brazil,1124.0,67.0,-,-
26,12/04/2020,Brazil,1223.0,99.0,-,-
27,13/04/2020,Brazil,1328.0,105.0,-,-
28,14/04/2020,Brazil,1532.0,204.0,-,-
29,15/04/2020,Brazil,1736.0,204.0,-,-
30,16/04/2020,Brazil,1924.0,188.0,-,-
31,17/04/2020,Brazil,2141.0,217.0,-,-
32,18/04/2020,Brazil,2354.0,213.0,-,-
33,19/04/2020,Brazil,2462.0,108.0,-,-
34,20/04/2020,Brazil,2587.0,125.0,-,-
35,21/04/2020,Brazil,2741.0,154.0,-,-
36,22/04/2020,Brazil,2906.0,165.0,-,-
37,23/04/2020,Brazil,3331.0,425.0,-,-
38,24/04/2020,Brazil,3704.0,373.0,-,-
39,25/04/2020,Brazil,4057.0,353.0,-,-
40,26/04/2020,Brazil,4286.0,229.0,-,-
41,27/04/2020,Brazil,4603.0,317.0,-,-
42,28/04/2020,Brazil,5083.0,480.0,-,-
43,29/04/2020,Brazil,5513.0,430.0,-,-
44,30/04/2020,Brazil,6006.0,493.0,-,-
45,01/05/2020,Brazil,6412.0,406.0,-,-
46,02/05/2020,Brazil,6761.0,349.0,-,-
47,03/05/2020,Brazil,7051.0,290.0,-,-
48,04/05/2020,Brazil,7367.0,316.0,-,-
49,05/05/2020,Brazil,7938.0,571.0,-,-
50,06/05/2020,Brazil,8588.0,650.0,-,-
51,07/05/2020,Brazil,9190.0,602.0,-,-
52,08/05/2020,Brazil,10017.0,827.0,-,-
53,09/05/2020,Brazil,10656.0,639.0,-,-
54,10/05/2020,Brazil,11123.0,467.0,-,-
55,11/05/2020,Brazil,11653.0,530.0,-,-
56,12/05/2020,Brazil,12461.0,808.0,-,-
57,13/05/2020,Brazil,13240.0,779.0,-,-
58,14/05/2020,Brazil,13999.0,759.0,-,-
59,15/05/2020,Brazil,14962.0,963.0,-,-
60,16/05/2020,Brazil,15662.0,700.0,-,-
61,17/05/2020,Brazil,16118.0,456.0,-,-
62,18/05/2020,Brazil,16853.0,735.0,-,-
63,19/05/2020,Brazil,17983.0,1130.0,-,-
64,20/05/2020,Brazil,18859.0,876.0,-,-
65,21/05/2020,Brazil,20047.0,1188.0,-,-
66,22/05/2020,Brazil,21048.0,1001.0,-,-
67,23/05/2020,Brazil,22013.0,965.0,-,-
68,24/05/2020,Brazil,22666.0,653.0,-,-
69,25/05/2020,Brazil,23473.0,807.0,-,-
70,26/05/2020,Brazil,24512.0,1039.0,-,-
71,27/05/2020,Brazil,25598.0,1086.0,-,-
72,28/05/2020,Brazil,26754.0,1156.0,-,-
73,29/05/2020,Brazil,27878.0,1124.0,-,-
74,30/05/2020,Brazil,28834.0,956.0,-,-
75,31/05/2020,Brazil,29314.0,480.0,-,-
76,01/06/2020,Brazil,29937.0,623.0,-,-
77,02/06/2020,Brazil,31199.0,1262.0,-,-
78,03/06/2020,Brazil,32548.0,1349.0,-,-
79,04/06/2020,Brazil,34021.0,1473.0,-,-
80,05/06/2020,Brazil,35026.0,1005.0,-,-
81,06/06/2020,Brazil,35930.0,904.0,-,-
82,07/06/2020,Brazil,36455.0,525.0,-,-
83,08/06/2020,Brazil,37134.0,679.0,-,-
84,09/06/2020,Brazil,38406.0,1272.0,-,-
85,10/06/2020,Brazil,39680.0,1274.0,-,-
86,11/06/2020,Brazil,40919.0,1239.0,-,-
87,12/06/2020,Brazil,41828.0,909.0,-,-
88,13/06/2020,Brazil,42720.0,892.0,-,-
89,14/06/2020,Brazil,43332.0,612.0,-,-
90,15/06/2020,Brazil,43959.0,627.0,-,-
91,16/06/2020,Brazil,45241.0,1282.0,-,-
92,17/06/2020,Brazil,46510.0,1269.0,-,-
93,18/06/2020,Brazil,47748.0,1238.0,-,-
94,19/06/2020,Brazil,48954.0,1206.0,-,-
95,20/06/2020,Brazil,49976.0,1022.0,-,-
96,21/06/2020,Brazil,50591.0,615.0,-,-
97,22/06/2020,Brazil,51271.0,680.0,-,-
98,23/06/2020,Brazil,52645.0,1374.0,-,-
99,24/06/2020,Brazil,53830.0,1185.0,-,-
100,25/06/2020,Brazil,54971.0,1141.0,-,-
101,26/06/2020,Brazil,55961.0,990.0,-,-
102,27/06/2020,Brazil,57070.0,1109.0,-,-
103,28/06/2020,Brazil,57622.0,552.0,-,-
104,29/06/2020,Brazil,58314.0,692.0,-,-
105,30/06/2020,Brazil,59594.0,1280.0,-,-
106,01/07/2020,Brazil,60632.0,1038.0,-,-
107,02/07/2020,Brazil,61884.0,1252.0,-,-
108,03/07/2020,Brazil,63174.0,1290.0,-,-
109,04/07/2020,Brazil,64265.0,1091.0,-,-
110,05/07/2020,Brazil,64867.0,602.0,-,-
111,06/07/2020,Brazil,65487.0,620.0,-,-
112,07/07/2020,Brazil,66741.0,1254.0,-,-
113,08/07/2020,Brazil,67964.0,1223.0,-,-
114,09/07/2020,Brazil,69184.0,1220.0,-,-
115,10/07/2020,Brazil,70398.0,1214.0,-,-
116,11/07/2020,Brazil,71469.0,1071.0,-,-
117,12/07/2020,Brazil,72100.0,631.0,-,-
118,13/07/2020,Brazil,72833.0,733.0,-,-
119,14/07/2020,Brazil,74133.0,1300.0,-,-
120,15/07/2020,Brazil,75366.0,1233.0,-,-
121,16/07/2020,Brazil,76688.0,1322.0,-,-
122,17/07/2020,Brazil,77851.0,1163.0,-,-
123,18/07/2020,Brazil,78772.0,921.0,-,-
124,19/07/2020,Brazil,79488.0,716.0,-,-
125,20/07/2020,Brazil,80120.0,632.0,-,-
126,21/07/2020,Brazil,81487.0,1367.0,-,-
127,22/07/2020,Brazil,82771.0,1284.0,-,-
128,23/07/2020,Brazil,84082.0,1311.0,-,-
129,24/07/2020,Brazil,85238.0,1156.0,-,-
130,25/07/2020,Brazil,86449.0,1211.0,-,-
131,26/07/2020,Brazil,87004.0,555.0,-,-
132,27/07/2020,Brazil,87618.0,614.0,-,-
133,28/07/2020,Brazil,88539.0,921.0,-,-
134,29/07/2020,Brazil,90134.0,1595.0,-,-
135,30/07/2020,Brazil,91263.0,1129.0,-,-
136,31/07/2020,Brazil,92475.0,1212.0,-,-
137,01/08/2020,Brazil,93563.0,1088.0,-,-
138,02/08/2020,Brazil,94104.0,541.0,-,-
139,03/08/2020,Brazil,94665.0,561.0,-,-
140,04/08/2020,Brazil,95819.0,1154.0,-,-
141,05/08/2020,Brazil,97256.0,1437.0,-,-
142,06/08/2020,Brazil,98493.0,1237.0,-,-
143,07/08/2020,Brazil,99572.0,1079.0,-,-
144,08/08/2020,Brazil,100477.0,905.0,-,-
145,09/08/2020,Brazil,101049.0,572.0,-,-
146,10/08/2020,Brazil,101752.0,703.0,-,-
147,11/08/2020,Brazil,103026.0,1274.0,-,-
148,12/08/2020,Brazil,104201.0,1175.0,-,-
149,13/08/2020,Brazil,105463.0,1262.0,-,-
150,14/08/2020,Brazil,106523.0,1060.0,-,-
151,15/08/2020,Brazil,107232.0,709.0,-,-
152,16/08/2020,Brazil,107852.0,620.0,-,-
153,17/08/2020,Brazil,108536.0,684.0,-,-
154,18/08/2020,Brazil,109888.0,1352.0,-,-
155,19/08/2020,Brazil,111100.0,1212.0,-,-
156,20/08/2020,Brazil,112304.0,1204.0,-,-
157,21/08/2020,Brazil,113358.0,1054.0,-,-
158,22/08/2020,Brazil,114250.0,892.0,-,-
159,23/08/2020,Brazil,114744.0,494.0,-,-
160,24/08/2020,Brazil,115309.0,565.0,-,-
161,25/08/2020,Brazil,116580.0,1271.0,-,-
162,26/08/2020,Brazil,117665.0,1085.0,-,-
163,27/08/2020,Brazil,118649.0,984.0,-,-
164,28/08/2020,Brazil,119504.0,855.0,-,-
165,29/08/2020,Brazil,120262.0,758.0,-,-
166,30/08/2020,Brazil,120828.0,566.0,-,-
167,31/08/2020,Brazil,121381.0,553.0,-,-
168,01/09/2020,Brazil,122596.0,1215.0,-,-
169,02/09/2020,Brazil,123780.0,1184.0,-,-
170,03/09/2020,Brazil,124614.0,834.0,-,-
171,04/09/2020,Brazil,125502.0,888.0,-,-
172,05/09/2020,Brazil,126203.0,701.0,-,-
173,06/09/2020,Brazil,126650.0,447.0,-,-
174,07/09/2020,Brazil,126960.0,310.0,-,-
175,08/09/2020,Brazil,127464.0,504.0,-,-
176,09/09/2020,Brazil,128539.0,1075.0,-,-
177,10/09/2020,Brazil,129522.0,983.0,-,-
178,11/09/2020,Brazil,130396.0,874.0,-,-
179,12/09/2020,Brazil,131210.0,814.0,-,-
180,13/09/2020,Brazil,131625.0,415.0,-,-
181,14/09/2020,Brazil,132006.0,381.0,-,-
182,15/09/2020,Brazil,133119.0,1113.0,-,-
183,16/09/2020,Brazil,134106.0,987.0,-,-
184,17/09/2020,Brazil,134935.0,829.0,-,-
185,18/09/2020,Brazil,135793.0,858.0,-,-
186,19/09/2020,Brazil,136532.0,739.0,-,-
187,20/09/2020,Brazil,136895.0,363.0,-,-
188,21/09/2020,Brazil,137272.0,377.0,-,-
189,22/09/2020,Brazil,138105.0,833.0,-,-
190,23/09/2020,Brazil,138105.0,0.0,-,-
191,24/09/2020,Brazil,139808.0,1703.0,-,-
192,25/09/2020,Brazil,140537.0,729.0,-,-
193,26/09/2020,Brazil,141406.0,869.0,-,-
194,27/09/2020,Brazil,141741.0,335.0,-,-
195,28/09/2020,Brazil,142058.0,317.0,-,-
196,29/09/2020,Brazil,142921.0,863.0,-,-
197,30/09/2020,Brazil,143952.0,1031.0,-,-
198,01/10/2020,Brazil,144680.0,728.0,-,-
199,02/10/2020,Brazil,144680.0,0.0,-,-
200,03/10/2020,Brazil,145987.0,1307.0,-,-
201,04/10/2020,Brazil,146352.0,365.0,-,-
202,05/10/2020,Brazil,146675.0,323.0,-,-
203,06/10/2020,Brazil,147494.0,819.0,-,-
204,07/10/2020,Brazil,148228.0,734.0,-,-
205,08/10/2020,Brazil,148957.0,729.0,-,-
206,09/10/2020,Brazil,149639.0,682.0,-,-
207,10/10/2020,Brazil,150198.0,559.0,-,-
208,11/10/2020,Brazil,150488.0,290.0,-,-
209,12/10/2020,Brazil,150689.0,201.0,-,-
210,13/10/2020,Brazil,150998.0,309.0,-,-
211,14/10/2020,Brazil,151747.0,749.0,-,-
212,15/10/2020,Brazil,152460.0,713.0,-,-
213,16/10/2020,Brazil,153214.0,754.0,-,-
214,17/10/2020,Brazil,153675.0,461.0,-,-
215,18/10/2020,Brazil,153675.0,0.0,-,-
216,19/10/2020,Brazil,154176.0,501.0,-,-
217,20/10/2020,Brazil,154837.0,661.0,-,-
218,21/10/2020,Brazil,155403.0,566.0,-,-
219,22/10/2020,Brazil,155900.0,497.0,-,-
220,23/10/2020,Brazil,156471.0,571.0,-,-
